Observation ID,Target name,Target Desc.,RA,Dec,Instrument,Obs. Mode,Proposal,PI Name,Proc. Level,Start Time,Duration (s),Filter,Detector
jw03428-o018_t018_nirspec_g235h-f170lp,J105005.11+462735.5,SREGION=POLYGON ICRS  162.520458827 46.459333929 162.520458827 46.460389484 162.522152457 46.460389484 162.522152457 46.459333929|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars,162.52130564105926,46.45986170777164,NIRSPEC/IFU,NRS_IFU,3428,"Liu, Weizhe",3,60411.96436236111,875.332,F170LP;G235H,MULTIPLE
jw03428024001_02101_00002_nrs2,J124510.13+434837.9,SREGION=POLYGON ICRS  191.291396731 43.809883225 191.291396731 43.811216559 191.293090439 43.811216559 191.293090439 43.809883225|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars,191.29224358509978,43.81054989263607,NIRSPEC/IFU,NRS_IFU,3428,"Liu, Weizhe",1,60354.24648692129,218.833,F170LP;G235H,NRS2
jw03428-o025_t025_nirspec_g235h-f170lp,J132825.16+444500.2,SREGION=POLYGON ICRS  202.104125247 44.749489299 202.104125247 44.750655966 202.105611573 44.750655966 202.105611573 44.749489299|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars,202.1048684093996,44.75007263306921,NIRSPEC/IFU,NRS_IFU,3428,"Liu, Weizhe",3,60377.015597604164,875.332,F170LP;G235H,MULTIPLE
jw08258011001_xx105_00001_nirspec,J0950+0523,SREGION=POLYGON ICRS 147.62011381028 5.3948818005 147.61952774455 5.39555246118 147.62017279463 5.39612489255 147.62075889492 5.39545444544|TARGETCATEGORY=Galaxy|TARGETKEYWORDS=Starburst galaxies|TOO=N,147.62014331328876,5.39550338195842,NIRSPEC/IFU,,8258,"Marques-Chaves, Rui",-1,,729.444,F170LP;G235M,
jw03428-o032_t032_nirspec_g235h-f170lp,J145805.99+332723.0,SREGION=POLYGON ICRS  224.524185204 33.455716642 224.524185204 33.457105531 224.525783352 33.457105531 224.525783352 33.455716642|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars,224.5249842785763,33.456411086948265,NIRSPEC/IFU,NRS_IFU,3428,"Liu, Weizhe",3,60428.24318340278,875.332,F170LP;G235H,MULTIPLE
jw03428-o034_t034_nirspec_g235h-f170lp,J153422.74+571140.5,SREGION=POLYGON ICRS  233.593601950 57.193949516 233.593601950 57.195227293 233.595960439 57.195227293 233.595960439 57.193949516|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars,233.5947811901664,57.1945884090184,NIRSPEC/IFU,NRS_IFU,3428,"Liu, Weizhe",3,60383.8943812963,875.332,F170LP;G235H,MULTIPLE
jw03428019001_02101_00002_nrs1,J110041.94+580001.3,SREGION=POLYGON ICRS  165.173464521 57.999665347 165.173464521 58.001054236 165.175980701 58.001054236 165.175980701 57.999665347|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars,165.1747226085742,58.00035979292867,NIRSPEC/IFU,NRS_IFU,3428,"Liu, Weizhe",1,60376.05205928241,218.833,F170LP;G235H,NRS1
jw03428-o005_t005_nirspec_g235h-f170lp,J075907.57+180054.7,SREGION=POLYGON ICRS  119.780846628 18.014524572 119.780846628 18.015857906 119.782307123 18.015857906 119.782307123 18.014524572|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars,119.78157687478841,18.015191239162064,NIRSPEC/IFU,NRS_IFU,3428,"Liu, Weizhe",3,60398.80656557871,875.332,F170LP;G235H,MULTIPLE
jw03428020001_02101_00002_nrs2,J110247.29+663519.6,SREGION=POLYGON ICRS  165.695345002 66.588090532 165.695345002 66.589423866 165.698700842 66.589423866 165.698700842 66.588090532|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars,165.69702291783216,66.588757201599,NIRSPEC/IFU,NRS_IFU,3428,"Liu, Weizhe",2,60383.71016,218.833,F170LP;G235H,NRS2
jw03428024001_02101_00002_nrs2,J124510.13+434837.9,SREGION=POLYGON ICRS  191.291396731 43.809883225 191.291396731 43.811216559 191.293090439 43.811216559 191.293090439 43.809883225|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars,191.29224358509978,43.81054989263607,NIRSPEC/IFU,NRS_IFU,3428,"Liu, Weizhe",2,60354.24648692129,218.833,F170LP;G235H,NRS2
jw03428-o016_t016_nirspec_g235h-f170lp,J113415.21+392826.0,SREGION=POLYGON ICRS  173.562629931 39.473350931 173.562629931 39.474462043 173.564141338 39.474462043 173.564141338 39.473350931|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars,173.56338563496897,39.47390648799276,NIRSPEC/IFU,NRS_IFU,3428,"Liu, Weizhe",3,60419.114359085645,875.332,F170LP;G235H,MULTIPLE
jw03428019001_02101_00002_nrs1,J110041.94+580001.3,SREGION=POLYGON ICRS  165.173464521 57.999665347 165.173464521 58.001054236 165.175980701 58.001054236 165.175980701 57.999665347|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars,165.1747226085742,58.00035979292867,NIRSPEC/IFU,NRS_IFU,3428,"Liu, Weizhe",2,60376.05205928241,218.833,F170LP;G235H,NRS1
jw03428-o007_t007_nirspec_g235h-f170lp,J080715.11+132805.1,SREGION=POLYGON ICRS  121.812279040 13.467433318 121.812279040 13.468766651 121.813707207 13.468766651 121.813707207 13.467433318|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars,121.81299312351817,13.46809998489529,NIRSPEC/IFU,NRS_IFU,3428,"Liu, Weizhe",3,60398.873118854164,875.332,F170LP;G235H,MULTIPLE
jw08258021001_xx101_00001_nirspec,J1415+2036,SREGION=POLYGON ICRS 213.92249075108 20.61503735605 213.92186736222 20.61570801598 213.92255349219 20.61628044809 213.92317691729 20.61560999988|TARGETCATEGORY=Galaxy|TARGETKEYWORDS=Starburst galaxies|TOO=N,213.92252213052544,20.61565893777076,NIRSPEC/IFU,,8258,"Marques-Chaves, Rui",-1,,948.278,F100LP;G140M,
jw02654007001_04101_00002_nrs1,SDSSJ0749-NIRSPEC-REPEAT,SREGION=POLYGON ICRS  117.344963082 22.919311331 117.344963082 22.920589109 117.346471030 22.920589109 117.346471030 22.919311331|TARGCAT=Galaxy|TARGDESC=Active galactic nuclei; Emission line galaxies; Quasar-galaxy pairs|TARGET_DESCRIP=Galaxy; Active galactic nuclei; Emission line galaxies; Quasar-galaxy pairs|TARGNAME=SDSSJ0749-V2,117.34571705555025,22.91995022046346,NIRSPEC/IFU,NRS_IFU,2654,"Ishikawa, Yuzo",2,59906.89169034722,364.722,F100LP;G140M,NRS1
jw08258001001_xx101_00001_nirspec,J0006+2452,SREGION=POLYGON ICRS 1.68640844626 24.88082346716 1.68576527851 24.88149412686 1.68647317815 24.8820665592 1.68711638314 24.88139611065|TARGETCATEGORY=Galaxy|TARGETKEYWORDS=Starburst galaxies|TOO=N,1.6864408204535257,24.881445048583217,NIRSPEC/IFU,,8258,"Marques-Chaves, Rui",-1,,1313.0,F100LP;G140M,
jw08258013001_xx101_00001_nirspec,J1220+0842,SREGION=POLYGON ICRS 185.16969736261 8.70997624494 185.1691070852 8.71064690547 185.16975677092 8.711219337 185.17034708303 8.71054888965|TARGETCATEGORY=Galaxy|TARGETKEYWORDS=Starburst galaxies|TOO=N,185.1697270783523,8.71059782632058,NIRSPEC/IFU,,8258,"Marques-Chaves, Rui",-1,,729.444,F100LP;G140M,
jw02457052001_03102_00006_nrs1,SDSS-J083200.20+161500.3,SREGION=POLYGON ICRS  128.000175694 16.249496526 128.000175694 16.250718748 128.001564515 16.250718748 128.001564515 16.249496526|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars|TARGNAME=SDSS J083200.20+161500.3,128.0008701046853,16.250107637560916,NIRSPEC/IFU,NRS_IFU,2457,"Vayner, Andrey",2,59922.35978313658,729.444,F170LP;G235H,NRS1
jw02155004001_03102_00003_mirifushort,J1007+2853,SREGION=POLYGON ICRS  151.806114321 28.896010979 151.806114321 28.897527645 151.807929188 28.897527645 151.807929188 28.896010979|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars,151.8070217552685,28.896769313367717,MIRI/IFU,MIR_MRS,2155,"Kulkarni, Varsha Purushottam",2,59942.08173041666,55.501,CH12-LONG,MIRIFUSHORT
jw02457-o005_t005_nirspec_g235h-f170lp,SDSS-J121704.70+023417.1,SREGION=POLYGON ICRS  184.268901474 2.570796636 184.268901474 2.572074414 184.270291763 2.572074414 184.270291763 2.570796636|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars|TARGNAME=SDSS J121704.70+023417.1,184.26959661910308,2.5714355250803465,NIRSPEC/IFU,NRS_IFU,2457,"Vayner, Andrey",3,60116.784610532406,14588.879999999997,F170LP;G235H,MULTIPLE
jw02046-o017_t016_miri_f560w-brightsky,H1413+117,SREGION=POLYGON ICRS  213.928754716 11.491810038 213.945783134 11.481748581 213.956489163 11.499147208 213.939460076 11.509209286|TARGCAT=Galaxy|TARGDESC=Active galactic nuclei; Quasars|TARGET_DESCRIP=Galaxy; Active galactic nuclei; Quasars,213.94262175901156,11.495478950587653,MIRI/IMAGE,MIR_IMAGE,2046,"Nierenberg, Anna",3,60132.75779105324,59.703,F560W,MIRIMAGE
jw07893010001_xx104_00003_nirspec,SBS1425+606,SREGION=POLYGON ICRS 216.73482686125 60.43033208332 216.73361110466 60.43101841248 216.73369225908 60.43105397344 216.73490797824 60.43036766446|TARGETCATEGORY=Galaxy|TARGETKEYWORDS=Quasars|TOO=N,216.73425954282686,60.43069303926205,NIRSPEC/SLIT,,7893,"Zhuang, Mingyang",-1,,291.778,F170LP;G235M,
jw05893011002_03101_00001_nrca4,C3D-11_CWEBTILE-4-11,SREGION=POLYGON ICRS  150.187465843 2.127201310 150.204013837 2.121251352 150.210057828 2.137650780 150.193485666 2.143811613|TARGCAT=Galaxy|TARGDESC=Field galaxies|TARGET_DESCRIP=Galaxy; Field galaxies|TARGNAME=C3D-11,150.1987435986983,2.1324916415424298,NIRCAM/IMAGE,NRC_IMAGE,5893,"Kakiichi, Koki",2,60786.178601782405,311.366,F115W,NRCA4
jw06350-o001_t001_miri_ch1-long,J0741+3112,SREGION=POLYGON ICRS  115.293625596 31.199329090 115.293625596 31.200773534 115.295567605 31.200773534 115.295567605 31.199329090|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars|TARGNAME=J0741+3112,115.29459660072641,31.20005131402025,MIRI/IFU,MIR_MRS,6350,"Kulkarni, Varsha Purushottam",3,60763.30577088611,677.108,CH1-LONG,MIRIFUSHORT
jw03158003001_08101_00003_mirifulong,XN8144,SREGION=POLYGON ICRS  34.377548603 -4.307967319 34.377548603 -4.305189541 34.380334251 -4.305189541 34.380334251 -4.307967319|TARGCAT=Galaxy|TARGDESC=Active galactic nuclei; Active galaxies; Quasars|TARGET_DESCRIP=Galaxy; Active galactic nuclei; Active galaxies; Quasars|TARGNAME=XN8144,34.37894142659542,-4.30657843044328,MIRI/IFU,MIR_MRS,3158,"Mainieri, Vincenzo",2,60302.526903032405,907.817,CH34-SHORT,MIRIFULONG
jw06350-c1009_t005_miri_ch1-long,J1619+3342,SREGION=POLYGON ICRS  244.817961583 33.709938169 244.817961583 33.711454836 244.819958487 33.711454836 244.819958487 33.709938169|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars|TARGNAME=J1619+3342,244.81896003467008,33.71069650460819,MIRI/IFU,MIR_MRS,6350,"Kulkarni, Varsha Purushottam",3,60723.68958474537,899.112,CH1-LONG,MIRIFUSHORT
jw01335-c1003_t002_miri_ch1-short,F2M1106-MIRI,SREGION=POLYGON ICRS  166.700042479 48.119242795 166.700042479 48.120903906 166.702638996 48.120903906 166.702638996 48.119242795|TARGCAT=Galaxy|TARGDESC=Active galactic nuclei; Emission line galaxies; Quasars|TARGET_DESCRIP=Galaxy; Active galactic nuclei; Emission line galaxies; Quasars|TARGNAME=F2M1106,166.7013407368589,48.12007335325943,MIRI/IFU,MIR_MRS,1335,"Wylezalek, Dominika",3,59904.18977237269,1051.156,CH1-SHORT,MIRIFUSHORT
jw07492015001_xx104_00002_miri,ERQ_J000610.67+121501.2,SREGION=POLYGON ICRS 1.54405098103 12.25029368785 1.5440629132 12.25043646266 1.54540117587 12.25032869625 1.54538895261 12.25018619599|TARGETCATEGORY=Galaxy|TARGETKEYWORDS=Active galactic nuclei ; Quasars|TOO=N,1.5447258123766978,12.250311279941783,MIRI/SLIT,,7492,"Wylezalek, Dominika",-1,,1798.226,,
jw07492001001_xx103_00001_miri,BQ_J1220+0004,SREGION=POLYGON ICRS 185.163461542 0.07435707874 185.16347320269 0.07449985353 185.16478099392 0.07439208846 185.16476904947 0.07424958816|TARGETCATEGORY=Galaxy|TARGETKEYWORDS=Active galactic nuclei ; Quasars|TOO=N,185.16412096357135,0.07437467065569958,MIRI/SLIT,,7492,"Wylezalek, Dominika",-1,,1798.226,,
jw07492002001_xx102_00001_miri,BQ_J1436+6336,SREGION=POLYGON ICRS 219.18876911272 63.61054595271 219.18879533743 63.61068872787 219.1917377054 63.61058097457 219.19171082758 63.61043847442|TARGETCATEGORY=Galaxy|TARGETKEYWORDS=Active galactic nuclei ; Quasars|TOO=N,219.19025280770722,63.61056356246264,MIRI/SLIT,,7492,"Wylezalek, Dominika",-1,,13.875,F1500W,
jw07492011001_xx104_00002_miri,ERQ_J134800.13-025006.4,SREGION=POLYGON ICRS 207.00014310192 -2.83515075622 207.00015477693 -2.83500798143 207.00146416971 -2.8351157462 207.00145221074 -2.83525824652|TARGETCATEGORY=Galaxy|TARGETKEYWORDS=Active galactic nuclei ; Quasars|TOO=N,207.00080337661504,-2.835133164266367,MIRI/SLIT,,7492,"Wylezalek, Dominika",-1,,1798.226,,
jw07492013001_xx104_00002_miri,ERQ_J001120.22+260109.2,SREGION=POLYGON ICRS 2.83380702651 26.01918257636 2.8338200018 26.01932535119 2.83527529019 26.01921758314 2.83526199737 26.01907508292|TARGETCATEGORY=Galaxy|TARGETKEYWORDS=Active galactic nuclei ; Quasars|TOO=N,2.834540868105104,26.01920016866313,MIRI/SLIT,,7492,"Wylezalek, Dominika",-1,,1798.226,,
jw07492012001_xx104_00002_miri,ERQ_J135608.32+073017.2,SREGION=POLYGON ICRS 209.03426515041 7.50473813241 209.0342769117 7.50488090721 209.03559600127 7.50477314133 209.03558395333 7.50463064105|TARGETCATEGORY=Galaxy|TARGETKEYWORDS=Active galactic nuclei ; Quasars|TOO=N,209.0349303131987,7.504755724377091,MIRI/SLIT,,7492,"Wylezalek, Dominika",-1,,1798.226,,
jw02177-c1005_t003_miri_ch1-long,J1333+1649,SREGION=POLYGON ICRS  203.398209801 16.816927019 203.398209801 16.818588130 203.400020590 16.818588130 203.400020590 16.816927019|TARGCAT=Galaxy|TARGDESC=Active galactic nuclei; Active galaxies; Quasars|TARGET_DESCRIP=Galaxy; Active galactic nuclei; Active galaxies; Quasars|TARGNAME=J1333+1649,203.39911519800071,16.817757574968482,MIRI/IFU,MIR_MRS,2177,"Mainieri, Vincenzo",3,60127.38395333333,11084.924,CH1-LONG,MIRIFUSHORT
jw08457011001_xx104_00004_nirspec,IRAS04416+1215-NIRSpec,SREGION=POLYGON ICRS 71.11983901505 12.35271740738 71.11924171637 12.35338806753 71.11989912965 12.35396049944 71.12049646332 12.35329005204|STANDARDTARGETNAME=IRAS04416+1215-NIRSpec|TARGETCATEGORY=Galaxy|TARGETKEYWORDS=Active galactic nuclei ; Active galaxies|TOO=N,71.11986908276486,12.353338988516072,NIRSPEC/IFU,,8457,"Ricci, Claudio",-1,,515.365,F170LP;G235H,
jw02057016001_02101_00002_nrs2,RM470,SREGION=POLYGON ICRS  215.197306563 53.800485701 215.197051254 53.799609781 215.198489561 53.799473888 215.198745217 53.800349914|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars,215.19789816428457,53.79997983792512,NIRSPEC/IFU,NRS_IFU,2057,"Shen, Yue",2,60015.82952954861,598.144,F100LP;G140M,NRS2
jw03158-o004_t004_miri_ch1-short,XN11523,SREGION=POLYGON ICRS  37.522737463 -5.138047381 37.522737463 -5.136458492 37.524405275 -5.136458492 37.524405275 -5.138047381|TARGCAT=Galaxy|TARGDESC=Active galactic nuclei; Active galaxies; Quasars|TARGET_DESCRIP=Galaxy; Active galactic nuclei; Active galaxies; Quasars|TARGNAME=XN11523,37.52357136842434,-5.137252936750542,MIRI/IFU,MIR_MRS,3158,"Mainieri, Vincenzo",3,60287.81319597268,14525.072,CH1-SHORT,MIRIFUSHORT
jw01220002001_03101_00004_nrs2,LBQS0302-0019+JIL,SREGION=POLYGON ICRS  46.207370676 -0.137693061 46.207370676 -0.136359727 46.208648457 -0.136359727 46.208648457 -0.137693061|TARGCAT=Galaxy|TARGDESC=High-redshift galaxies; Quasar-galaxy pairs; Quasars|TARGET_DESCRIP=Galaxy; High-redshift galaxies; Quasar-galaxy pairs; Quasars,46.20800956330141,-0.13702639399038605,NIRSPEC/IFU,NRS_IFU,1220,"Luetzgendorf, Nora",2,59801.96109597222,875.333,F170LP;G235H,NRS2
jw05645007001_02101_00002_nrs1,J0005-0006,SREGION=POLYGON ICRS  1.467411421 -0.116106181 1.467411421 -0.114772847 1.468689202 -0.114772847 1.468689202 -0.116106181|TARGCAT=Galaxy|TARGDESC=High-redshift galaxies; Quasars|TARGET_DESCRIP=Galaxy; High-redshift galaxies; Quasars,1.4680503114989167,-0.11543951399991456,NIRSPEC/IFU,NRS_IFU,5645,"Farina, Emanuele Paolo",2,60644.84199179398,656.5,F290LP;G395H,NRS1
jw02057016001_02101_00002_nrs2,RM470,SREGION=POLYGON ICRS  215.197306563 53.800485701 215.197051254 53.799609781 215.198489561 53.799473888 215.198745217 53.800349914|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars,215.19789816428457,53.79997983792512,NIRSPEC/IFU,NRS_IFU,2057,"Shen, Yue",1,60015.82952954861,598.144,F100LP;G140M,NRS2
jw05761001001_02101_00002_nrs1,QSO-J0817+1351,SREGION=POLYGON ICRS  124.418992859 13.860309369 124.418190360 13.859791499 124.418720907 13.859035419 124.419523188 13.859553551|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars|TARGNAME=QSO J0817+1351,124.41885680205974,13.85967244558806,NIRSPEC/SLIT,NRS_TACONFIRM,5761,"Neeleman, Marcel",2,60743.92974024305,0.224,CLEAR;MIRROR,NRS1
jw02457-o054_t004_nirspec_g235h-f170lp,SDSS-J123241.73+091209.3,SREGION=POLYGON ICRS  188.173204404 9.201971334 188.173204404 9.203249112 188.174611404 9.203249112 188.174611404 9.201971334|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars|TARGNAME=SDSS J123241.73+091209.3,188.17390790345843,9.202610223309378,NIRSPEC/IFU,NRS_IFU,2457,"Vayner, Andrey",3,60481.65025417824,16047.767999999996,F170LP;G235H,MULTIPLE
jw03257-o008_t008_miri_ch1-long,AGN-CID-467,SREGION=POLYGON ICRS  150.101307405 2.104410866 150.101307405 2.106505311 150.102752826 2.106505311 150.102752826 2.104410866|TARGCAT=Galaxy|TARGDESC=Active galactic nuclei; High-redshift galaxies|TARGET_DESCRIP=Galaxy; Active galactic nuclei; High-redshift galaxies|TARGNAME=cid-467,150.10203011555214,2.105458088433892,MIRI/IFU,MIR_MRS,3257,"Kakkad, Darshan",3,60444.68268730324,6880.296,CH1-LONG,MIRIFUSHORT
jw02057004001_03101_00002_nrs2,RM052,SREGION=POLYGON ICRS  213.209317703 53.289205444 213.209299456 53.288316707 213.210738563 53.288316340 213.210757122 53.289205214|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars,213.21002823021232,53.288760942629686,NIRSPEC/IFU,NRS_IFU,2057,"Shen, Yue",1,60026.68690930556,598.144,F100LP;G140M,NRS2
jw05761001001_02101_00002_nrs1,QSO-J0817+1351,SREGION=POLYGON ICRS  124.418992859 13.860309369 124.418190360 13.859791499 124.418720907 13.859035419 124.419523188 13.859553551|TARGCAT=Galaxy|TARGDESC=Quasars|TARGET_DESCRIP=Galaxy; Quasars|TARGNAME=QSO J0817+1351,124.41885680205974,13.85967244558806,NIRSPEC/SLIT,NRS_TACONFIRM,5761,"Neeleman, Marcel",1,60743.92974024305,0.224,CLEAR;MIRROR,NRS1
jw02701-o001_t001_nirspec_g235h-f170lp,2XMM-J100043.1+020637,SREGION=POLYGON ICRS  150.179079242 2.109744172 150.179079242 2.110966394 150.180413480 2.110966394 150.180413480 2.109744172|TARGCAT=Galaxy|TARGDESC=Active galactic nuclei; Active galaxies; Galaxy nuclei; Interacting galaxies; Quasar-galaxy pairs|TARGET_DESCRIP=Galaxy; Active galactic nuclei; Active galaxies; Galaxy nuclei; Interacting galaxies; Quasar-galaxy pairs|TARGNAME=2XMM J100043.1+020637,150.17974636090466,2.110355283060869,NIRSPEC/IFU,NRS_IFU,2701,"Mueller-Sanchez, Francisco",3,60312.746005740744,35013.336,F170LP;G235H,MULTIPLE
jw01220002001_03101_00004_nrs2,LBQS0302-0019+JIL,SREGION=POLYGON ICRS  46.207370676 -0.137693061 46.207370676 -0.136359727 46.208648457 -0.136359727 46.208648457 -0.137693061|TARGCAT=Galaxy|TARGDESC=High-redshift galaxies; Quasar-galaxy pairs; Quasars|TARGET_DESCRIP=Galaxy; High-redshift galaxies; Quasar-galaxy pairs; Quasars,46.20800956330141,-0.13702639399038605,NIRSPEC/IFU,NRS_IFU,1220,"Luetzgendorf, Nora",1,59801.96109597222,875.333,F170LP;G235H,NRS2
jw04912-o007_t001_nirspec_g395h-f290lp,J1148+5251,SREGION=POLYGON ICRS  177.068101941 52.863280794 177.068101941 52.864669683 177.070586620 52.864669683 177.070586620 52.863280794|TARGCAT=Galaxy|TARGDESC=Active galactic nuclei; High-redshift galaxies; Quasars|TARGET_DESCRIP=Galaxy; Active galactic nuclei; High-redshift galaxies; Quasars|TARGNAME=J1148+5251,177.0693442806524,52.86397524128111,NIRSPEC/IFU,NRS_IFU,4912,"Carniani, Stefano",3,60772.9621871412,21883.332000000002,F290LP;G395H,MULTIPLE
